"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user, I should be able to register on the platform","5018","Alternative registration flows","","Thu Jan 30 16:25:21 GMT 2025","passed","Thu Jan 30 16:25:26 GMT 2025","","User Registration","Alternative registration flows",""
"  As a user, I should be able to register on the platform","5155","Alternative registration flows","","Thu Jan 30 16:25:16 GMT 2025","passed","Thu Jan 30 16:25:21 GMT 2025","","User Registration","Alternative registration flows",""
"  As a user, I should be able to register on the platform","5543","Alternative registration flows","","Thu Jan 30 16:25:10 GMT 2025","passed","Thu Jan 30 16:25:16 GMT 2025","","User Registration","Alternative registration flows",""
"  - As a user, I should be able to log in to the site","5135","Alternative Scenarios","","Thu Jan 30 16:24:49 GMT 2025","passed","Thu Jan 30 16:24:54 GMT 2025","","Login","Alternative Scenarios",""
"  As a user, I should be able to register on the platform","5101","Successful registration","","Thu Jan 30 16:24:54 GMT 2025","passed","Thu Jan 30 16:24:59 GMT 2025","","User Registration","Successful registration",""
"  As a user, I should be able to register on the platform","5500","Alternative registration flows","","Thu Jan 30 16:25:05 GMT 2025","passed","Thu Jan 30 16:25:10 GMT 2025","","User Registration","Alternative registration flows",""
"  - As a user, I should be able to log in to the site","5321","Alternative Scenarios","","Thu Jan 30 16:24:44 GMT 2025","passed","Thu Jan 30 16:24:49 GMT 2025","","Login","Alternative Scenarios",""
"  - As a user, I should be able to log in to the site","18145","Successful Login","","Thu Jan 30 16:24:25 GMT 2025","passed","Thu Jan 30 16:24:43 GMT 2025","","Login","Successful Login",""
"  As a user, I should be able to register on the platform","5819","Alternative registration flows","","Thu Jan 30 16:24:59 GMT 2025","passed","Thu Jan 30 16:25:05 GMT 2025","","User Registration","Alternative registration flows",""
"  - As a user, I should be able to make a purchase of a product on the website","31987","Purchase of a product","","Thu Jan 30 16:25:26 GMT 2025","passed","Thu Jan 30 16:25:58 GMT 2025","","Purchase of a Product","Purchase of a product",""
